,Offense,Rate
273,Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 01/09/2020 066694 Active Name: Steven Ernest Kellis Private Supreme Court No: Rep. Status: Phone Number(s): 215-940-1200 Other) Address: Representing: Oliveira,2
274,Criminal Attempt - Criminal Mischief,2
275,Criminal Attempt - Statutory Sexual Assault: 8-11 Years Older,2
276,Criminal Solicitation - Purc/Rec Of Cont Substby Unauth Per,2
277,Giving Firearms Prohibited,2
278,Disp Cont Subst By Pract W/O Aff,2
279,Criminal Solicitation - Obstruct Admin Law/Other Govt Func,2
280,Receiving Stolen Property Poss Instrument Of Crime W/Int,2
281,Rec Deposits Failing Finan Instit,2
282,Failure to Yield to Emergency Vehicle,2
283,Sales Of Malt/Brewed Bev Not For Consump,2
284,Patrick Stack,2
285,Poss Instrument Of Crime W/Int Criminal Mischief,2
286,Receiving Stolen Property Simple Assault Recklessly Endangering Another Person,2
287,"""Submit Claim W/False Info Submit Claim Serv Not Rendd By Prov""",2
288,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/09/2020 066694 Active Name: Steven Ernest Kellis Private Supreme Court No: Rep. Status: Phone Number(s): 215-940-1200 Other) Address: Representing: Oliveira,2
289,Loans On,2
290,Dissem Photo/Film of Child Sex Acts,2
291,Lure Child Into Motor Vehicle,2
292,Drive Over Divider,2
293,Acq Or Obt Poss Of Contr Subs Misre,2
294,Drug Delivery Resulting In Death,2
295,PA 19102-4009 Representing: Ortiz,2
296,Robbery - demand money from financial institution,2
297,Unlaw. Use of Computer - Access to Disrupt Funct.,2
298,Violation Of Use Of Certif Of Inspection,2
299,Nino V. Filed By ATTORNEY INFORMATION ENTRIES,2
300,Misapply Entrusted/Govt/Fin Inst Prop,2
301,Deliver/Intent To Del Drug Para,2
302,Criminal Attempt - Agg. Ind. Assault W/O Consent,2
303,Unknown Statute Careless Driving,2
304,Aggravated Assault - Attempts to cause or causes BI - School,2
305,Alex Filed By ATTORNEY INFORMATION ENTRIES,2
306,Agg. Ind. Assault - Comp. Less Than 16,2
307,"""Retail Dealer Reqd To Be Licensed""",2
308,Illegal Racing,2
309,Recklessly Endangering Another Person Criminal Mischief,2
310,"""Oper Veh W/O Reqd Financ Resp""",2
311,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 02/14/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Robert Marc Gamburg Private 068808 Active Supreme Court No: Rep. Status: Phone Number(s): 215-567-1486 Office) Address: Representing: FORTE,2
312,Criminal Solicitation - Institutional Sexual Assault,2
313,Conspiracy - Burglary - Not Adapted for Overnight Accommodation,2
314,Transient - Fail to Register with PSP,2
315,Receiving Stolen Property Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/04/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Magistrate Filed By ATTORNEY INFORMATION ENTRIES,2
316,Computer Theft,2
317,MICHAEL Filed By ATTORNEY INFORMATION ENTRIES,2
318,Agg. Ind. Assault - Forcible Compulsion,2
319,Angel Filed By ATTORNEY INFORMATION ENTRIES,2
320,Or Lending,2
321,Perjury,2
322,Breach Prv Dev Meas Truth,2
323,Computer Trespass - Remove Data,2
324,Display Obscene/Sexual Materials,2
325,"""Criml Misch-Tamper W/Property""",2
326,Receiving Stolen Property Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Carrying Firearm During Emergency Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/08/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,2
327,Careless Driving No Headlights,2
328,Transient - Fail to Verify Address or be Photographed,2
329,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 02/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Michael I. McDermott Court Appointed 052917 Supreme Court No: Rep. Status: Phone Number(s): 215-546-2286 Address: Active (Phone) 121 S Broad St Fl 18 Philadelphia,2
330,Fail to Register with PSP,2
331,Criminal Attempt - Causing Catastrophe,2
332,False Swearing - Offic Proceed,2
333,Agg. Ind. Assault of Child,2
334,Careless Driving Reckless Driving,2
335,Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Theft By Fail To Make Req Disp Funds Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 02/20/2020 Proceed to Court Proceed to Court Proceed to Court,2
336,Police Animals - Illegal to Taunt,2
337,PA 19107-1808 Representing: Hatchett,2
338,False/Fraud/Etc Sales Of Unstamp Cig,2
339,Ind Asslt Person Less 16 Yrs Age,2
340,Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/29/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By E-Filing Judge ATTORNEY INFORMATION ENTRIES,1
341,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Harassment - Subject Other to Physical Contact Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Magistrate Filed By ATTORNEY INFORMATION ENTRIES,1
342,Obstruct Admin Law/Other Govt Func Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/07/2020 07/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Withdrawn Withdrawn Withdrawn Withdrawn Withdrawn Withdrawn Name: Andrew G. Gay Jr. Private 083401 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Filed By ATTORNEY INFORMATION ENTRIES,1
343,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
344,Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Recklessly Endangering Another Person Fail To Prev Catast-Duty Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
345,False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact Disposition Date Offense Disposition Sentence Date,1
346,Recklessly Endangering Another Person Harassment - Subject Other to Physical Contact,1
347,Eugene Filed By ATTORNEY INFORMATION ENTRIES,1
348,Receiving Stolen Property Unauth Use Motor/Other Vehicles,1
349,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
350,Receiving Stolen Property Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
351,Renewal Of Registration,1
352,Daniel ATTORNEY INFORMATION,1
353,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
354,Disregard Traffic Lane (Single) Turning Movements And Required Signals,1
355,Terroristic Threats W/ Int To Terrorize Another Stalking - Repeatedly Commit Acts To Cause Fear Harassment - Comm. Lewd,1
356,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
357,DUI: Controlled Substance - Combination Alcohol/Drugs - 1st Offense,1
358,Criminal Attempt - Indec Asslt-W/O Cons Of Other,1
359,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
360,Anthony Filed By ATTORNEY INFORMATION ENTRIES,1
361,Criminal Attempt - Murder Of The First Degree,1
362,Ishmeal Filed By ATTORNEY INFORMATION ENTRIES,1
363,Carry Firearms Public In Phila Carrying Loaded Weapon,1
364,Weapons of Mass Dest. - Unlawful Poss or Manu Int Poss Contr Subst By Per Not Reg Use/Poss Of Drug Paraph Possession Of Firearm Prohibited Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Carrying Loaded Weapon Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/06/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
365,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
366,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Brian J. Zeiger Private 087063 Active Fax) (Mobile) Supreme Court No: Rep. Status: Phone Number(s): 215-279-8702 267-978-3456 Address: Representing: Furman,1
367,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person,1
368,Terroristic Threats W/ Int To Terrorize Another Simple Assault Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,1
369,Jeffry Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By ATTORNEY INFORMATION ENTRIES,1
370,PA 19134-5109 Representing: Karpovich,1
371,Tamper With Public Record/Information,1
372,Improper Entering To Intersection,1
373,Poss Instrument Of Crime W/Int Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): Address: 310289 Active Filed By ATTORNEY INFORMATION ENTRIES,1
374,Simple Assault Recklessly Endangering Another Person False Imprisonment,1
375,Improper Stop,1
376,False Alarm To Agency Of Public Safety False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact Disposition Date Offense Disposition Sentence Date,1
377,"""Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information Tamper With Public Record/information False/Fraud Med Assist Claim Unentitled Reimbursement Submit Claim Serv Not Rendd To Pt Submit Claim W/False Info Submit Claim Serv Not Rendd By Prov Conspiracy - Theft By Decep-False Impression Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court F3 F3 F3 F3 F3 F3 F3 F3 F3 F3 F3""",1
378,PA 19102 Filed By ATTORNEY INFORMATION ENTRIES,1
379,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
380,PA 19102 Representing: Kitt,1
381,Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/06/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Gerald A. Stein Private 013239 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Filed By ATTORNEY INFORMATION ENTRIES,1
